0	941	432	1382	
1	550	549	1108	
2	753	683	1446	
3	987	570	1568	
4	2009	275	2296	
5	483	899	1396	
6	1280	880	2177	
7	2098	2045	4231	
8	924	1731	2680	
9	794	336	1147	
10	1078	1666	2778	
11	534	215	752	
12	479	763	1260	
13	351	324	686	
14	594	344	942	
15	650	736	1407	
16	1145	995	2158	
17	950	1459	2435	
18	365	1358	1744	
19	627	1951	2606	
20	1982	596	2591	
21	476	965	1451	
22	543	723	1283	
23	832	1437	2291	
24	339	755	1101	
25	1380	2088	3502	
26	667	1147	1834	
27	425	1593	2043	
28	429	1936	2401	
29	643	1117	1778	
30	488	1661	2172	
31	283	685	990	
32	559	1195	1767	
33	163	232	397	
34	568	1125	1716	
35	526	1318	1865	
36	980	1386	2395	
